event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
91,6,5,9,7,8,-2,-2,21,1,0.669118344783783,1.341131098377118,1.798632623034215,0.4984101576437432,0.539229361367488,1.066370448283483e-06
92,6,5,9,7,8,2,2,21,-3,1.542025089263916,3.5292214439130896,12.455404000175992,0.2633530631692964,0.3274330098539714,1.5883547466350853e-06
92,9,8,12,10,11,-3,-3,21,21,1.3406298160552979,3.3556342423455345,11.260281168401889,0.2167456951844113,0.2124712915318691,4.2146848510894033e-07
93,5,6,9,7,8,-1,-1,21,2,0.8019692301750183,1.8004100862691448,3.2414764787396697,0.7359948689728077,0.4733671829509509,6.454112478407536e-07
96,6,5,9,7,8,-1,-1,21,1,0.840347170829773,1.8122848787819847,3.284376481861833,0.3350076699518997,0.3352004848652664,4.768394865038772e-06
96,9,8,12,10,11,1,1,21,21,0.7556386590003967,3.4593984240063453,11.967437456017585,0.9502222197014373,0.9509155482723296,3.814820954899166e-06
96,10,11,15,13,14,1,1,21,21,0.6289935111999512,1.2600349518434901,1.5876880798672266,0.5061645479289706,0.573524952270906,4.39637921379122e-06
98,5,6,9,7,8,-1,-1,21,3,0.9910762906074524,2.4963776799924626,6.231901521164551,0.20765329254975412,0.2076251350470413,3.4119744914457256e-05
99,5,6,9,7,8,-1,-1,21,2,0.867100179195404,2.0309705469376933,4.124841362528392,0.7665448222056722,0.39003847965349275,3.814828713766373e-06
100,5,6,9,7,8,2,2,21,-3,0.9528926610946655,3.337293713464698,11.137529329930992,0.9107893781590238,0.9778429127026983,6.813935277239115e-05
100,7,8,12,10,11,2,2,21,21,0.6410444974899292,1.5825133670984617,2.5043485570453106,0.8053656059513155,0.9746484542713646,2.9854788130699174e-05
101,6,5,9,7,8,-3,-3,21,2,0.7112597823143005,2.145527503847435,4.603288269765805,0.8807770978294863,0.5283563472350069,1.36050641470111e-06
101,9,8,12,10,11,2,2,21,21,0.555617094039917,1.1117449456269501,1.2359768241270706,0.5527424237908554,0.5099342355191318,7.448472715761852e-06
102,5,6,9,7,8,1,1,21,-3,2.191448450088501,4.506144825124199,20.3053411849936,0.3869520096175022,0.22710208459288575,9.53703419792631e-06
102,9,8,12,10,11,-3,-3,21,21,0.8096654415130615,2.4840642190378883,6.170575044304314,0.8838704211174779,0.40890785045017436,2.2967639803502264e-05
102,7,12,15,13,14,1,1,21,21,0.7743682861328125,1.8977975163503427,3.6016354130655293,0.23404278476385088,0.5327486565667434,1.7059948923751673e-05
105,5,6,9,7,8,2,2,21,-1,1.0800387859344482,2.194200769117117,4.814517015194148,0.43424293907603523,0.26100975765759843,5.117953493943829e-05
107,6,5,9,7,8,-1,-1,21,2,1.2697170972824097,3.5555190072914575,12.641715411210832,0.8512514691439452,0.2976910690759823,1.7533196626899885e-05
108,6,5,9,7,8,-1,-1,21,2,0.7929235696792603,5.500150416896234,30.25165460848381,0.9788405396970552,0.9858885932308865,1.2905515390142003e-05
108,7,8,16,14,15,-1,-1,21,21,0.5939255356788635,1.2899928808327856,1.6640816325992693,0.7131345687410571,0.7140047554835394,3.3881714942759493e-07
109,6,5,13,11,12,-1,-1,21,1,2.453569173812866,10.770347831336085,116.00039240796592,0.9451398064657583,0.9411721251853488,4.2180800585661064e-05
109,22,21,28,26,27,1,1,21,21,0.7022638320922852,3.0459107642390015,9.277572383707017,0.9444286438029023,0.9539922542857002,3.4690370517628374e-05
109,26,31,34,32,33,1,1,21,21,0.5850841999053955,1.429920282443702,2.0446720141438766,0.8021601001557538,0.9493997609875882,5.237443182966035e-05
112,5,6,9,7,8,-2,-2,21,1,1.084990382194519,2.277489876274494,5.18696013653281,0.6589668133166141,0.6676497056172656,1.5508665837356672e-06
112,9,8,12,10,11,1,1,21,21,0.9720286130905151,2.1179940926737966,4.485898976601098,0.31817210357295145,0.2536056885735798,5.029555807035467e-06
116,5,6,9,7,8,-1,-1,21,1,1.1641261577606201,2.9139630559812777,8.491180691623747,0.8031948442856779,0.20551452614319857,6.198887534151386e-06
116,7,8,12,10,11,-1,-1,21,21,0.6207243204116821,1.33692225778777,1.7873611233683482,0.7036176256857567,0.4504167766521754,1.3910255923123607e-06
118,5,6,9,7,8,-2,-2,21,2,1.0631062984466553,2.6936500923714024,7.255750820132465,0.20495617544032796,0.18999827662850838,1.2644054553268208e-07
