event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
1054,9,10,13,11,12,21,3,-3,21,0.7667831182479858,1.7215164566684826,2.963618910580408,0.6849986475237995,0.6597738652609734,9.956655134825518e-06
1057,39,40,47,45,46,21,-2,2,21,0.6001560688018799,1.2170834373930512,1.481292093576485,0.4304784096830334,0.6841301469815482,1.9074395801143763e-06
1060,23,24,27,25,26,21,-2,2,21,0.5772429704666138,2.097453009133978,4.399309125525178,0.8962594119228164,0.9021240495407556,5.990420353243254e-06
1060,23,26,38,25,26,21,-2,2,2,0.5772429704666138,2.097453009133978,4.399309125525178,0.6491021429183363,0.9021240495407556,0.013560026516699044
1060,23,27,32,25,26,21,-2,2,21,0.5772429704666138,2.097453009133978,4.399309125525178,0.89624152361406,0.9021240495407556,0.018563710505300993
1062,13,10,18,16,17,21,-2,2,-1,0.5647618174552917,1.4348492162291921,2.058792273313527,0.22621185687106135,0.2768498811541155,1.3534651789504997e-07
1065,12,13,16,14,15,21,-3,3,-2,0.7961412668228149,1.6400724791596704,2.6898377368969477,0.4050272902239607,0.36245828478373915,3.5886748369909214e-07
1076,17,18,37,35,36,21,-1,1,21,0.5005010366439819,1.1743971304759435,1.3792086200701306,0.2842342013049639,0.09482235812254716,6.39746500063397e-06
1084,8,9,12,10,11,21,1,-1,2,1.0205092430114746,3.429131260463477,11.758941201487833,0.10572335462457308,0.4753456940418324,8.720854780105012e-05
1091,17,18,21,19,20,21,1,-1,1,0.5990786552429199,1.2450626676426122,1.5501810463573378,0.38472388547544883,0.8579975886565462,7.539917622541504e-06
1107,8,7,12,10,11,21,-3,3,-1,0.6419974565505981,1.450635172296324,2.104342403103186,0.6685562390001216,0.4778388461310351,6.773091046354438e-08
1120,17,18,21,19,20,21,-3,3,21,0.5764742493629456,1.3347718687763555,1.7816159416767245,0.3331299848976693,0.3731439829167973,7.196659231807739e-07
1138,17,18,32,30,31,21,-3,3,-2,0.9522367715835571,2.0519220572068275,4.210384128851899,0.6625141481228018,0.19337427224929357,6.752330933943563e-06
1138,40,41,70,68,69,21,-2,2,-2,0.6137401461601257,1.2980677983565843,1.68498000913031,0.6400438973550379,0.4498714840669451,9.541398640621973e-08
1147,8,7,12,10,11,21,2,-2,1,0.6273237466812134,1.3881119828612245,1.9268548769629206,0.311790694814247,0.7296985757530602,2.901300473796922e-06
1157,23,24,27,25,26,21,-2,2,21,1.074609398841858,3.1571285959600077,9.967460971428409,0.858153383095676,0.8584193702960411,3.933567877842695e-06
1157,38,45,48,46,47,21,-1,1,21,0.5689225792884827,1.293849393166039,1.6740462521961277,0.2952780555356257,0.283684591523889,4.3406051832235965e-07
1204,17,15,26,24,25,21,-2,2,21,0.5387598276138306,1.4033356094745635,1.9693508328193445,0.7826940575120082,0.5201657057223259,1.3490573973565431e-06
1227,15,14,22,20,21,21,-2,2,21,0.5020760297775269,1.0098664182227202,1.0198301826539862,0.45979773922151534,0.3108192716067793,1.4648730114871086e-07
1233,11,12,15,13,14,21,-1,1,-2,0.719458818435669,1.6737590774395927,2.801469449311437,0.7347110981262708,0.7239090853577979,2.3576448469723644e-05
1233,10,13,21,19,20,21,-3,3,-1,0.6535598635673523,1.354101447892109,1.8335907311835058,0.5880300830440977,0.7702479919027091,2.4131141216608354e-07
1291,9,10,23,21,22,21,-1,1,21,1.4685678482055664,3.0207398346682743,9.124869148751714,0.6139926893234422,0.14875303859508893,9.830261141392865e-06
1291,47,34,50,48,49,21,1,-1,21,0.5049196481704712,1.1260229918009685,1.2679277780644043,0.6792285492674943,0.88366880963543,4.534922819345751e-06
1291,25,36,41,39,40,21,-2,2,21,0.6481881141662598,1.471193736221364,2.164411009496977,0.28872607768204334,0.24672431971935235,1.608790671951263e-07
1297,16,15,19,17,18,21,-1,1,21,0.504661500453949,1.0226559342872725,1.0458251599329742,0.43822316230763864,0.55364849723841,1.9110848157416107e-06
1323,8,9,12,10,11,21,-3,3,-2,0.5202429890632629,1.545262688698878,2.3878367770848854,0.21849771455759096,0.15476677663015942,1.0271429967832103e-05
1324,8,7,12,10,11,21,-1,1,-1,0.6306145787239075,1.2844089032820247,1.6497062308301338,0.5811456970428723,0.26556542430219754,1.966275835419498e-06
1326,10,9,21,19,20,21,3,-3,1,1.157249927520752,2.3268189691604477,5.41408651524489,0.4537032180624668,0.582323421758642,6.877047331765538e-06
1330,23,22,31,29,30,21,-1,1,21,0.5584497451782227,1.3520253899196675,1.8279726549874287,0.25408659952100826,0.49037806924448546,8.940696716308594e-08
1343,40,41,48,46,47,21,-2,2,21,0.655977189540863,1.3369194335047938,1.7873535716827789,0.5836400947776931,0.5381700871607689,1.7943374184954607e-07
1344,11,12,15,13,14,21,-3,3,-2,0.5138318538665771,1.0793123370202165,1.1649151208440411,0.44250036402169374,0.4513800969671559,6.563280685408485e-07
1348,12,11,27,25,26,21,-2,2,-2,1.0108141899108887,2.0443201998846803,4.179245079656539,0.42961672499784154,0.31327974642850526,7.630122092320257e-06
1387,29,28,38,36,37,21,3,-3,21,0.5612356662750244,1.156577209800974,1.337670842231006,0.5605569773170561,0.5468554354987181,4.430316268765378e-07
1388,27,28,39,37,38,21,-3,3,21,1.7692054510116577,3.619232331882829,13.09884267214602,0.3990201678709241,0.3121216376766093,9.629425061585611e-07
1411,8,9,12,10,11,21,2,-2,2,0.5637313723564148,1.2613243594152745,1.5909391396543526,0.30897569153692106,0.38651524036082646,1.161197546154426e-05
1419,32,51,56,54,55,21,-1,1,21,0.6381018757820129,1.516582702983312,2.3000230949881693,0.2567923849319338,0.4380842880481264,9.657056180250437e-08
1422,8,9,12,10,11,21,-4,4,-1,1.1514655351638794,3.4442598036674537,11.862925595159368,0.3173499470364692,0.5871252089486563,2.216275632171716e-05
1444,61,60,116,114,115,21,1,-1,21,0.5033965706825256,1.1190412912522383,1.2522534115274766,0.3237471389497112,0.44704853913986464,2.1371740767796913e-06
1447,39,38,45,43,44,21,-1,1,21,0.5065019726753235,1.5300062132077532,2.3409190124543287,0.16194478934825193,0.09127756375807786,2.712308116148024e-07
1460,16,15,20,18,19,21,2,-2,21,1.1701735258102417,2.430737666619702,5.908485603923793,0.6300037365335784,0.13547914983694742,1.9283190776491854e-06
1489,8,9,12,10,11,21,1,-1,2,1.0287673473358154,4.16423929213567,17.34088888216658,0.9292090696166114,0.8024163688447439,1.7143592584608504e-05
1492,12,13,16,14,15,21,1,-1,2,0.5745630860328674,1.3841265015367825,1.9158061722564526,0.25502701706156494,0.7538776471858805,8.092212063670043e-06
1510,8,9,12,10,11,21,1,-1,1,1.409910798072815,5.633908059747268,31.740920025685227,0.9298851610648029,0.26800317322507894,8.456750318805397e-06
1516,20,29,34,32,33,21,-3,3,21,0.585176408290863,1.232454273153091,1.5189435354133138,0.4084058257589056,0.5090031445582528,4.791598078850963e-07
1526,8,7,12,10,11,21,3,-3,2,1.0401062965393066,2.3763545644435617,5.647061015951749,0.28077245237553516,0.9395451905536085,5.175720188747386e-06
1534,31,32,51,49,50,21,3,-3,2,0.6184460520744324,1.4367749665179066,2.0643223044125314,0.31732924088601405,0.6130354666780989,1.0426820689281007e-06
1534,41,42,54,52,53,21,1,-1,2,0.5939577221870422,1.5411122443794414,2.375026949776239,0.21216042648498915,0.601775632992606,1.844677091112725e-07
1534,40,52,57,55,56,21,2,-2,1,0.5762750506401062,1.2519183938031573,1.5672996647426771,0.665888801770203,0.6841445202005757,1.445801434690135e-07
1560,23,24,33,31,32,21,-2,2,21,0.8208341002464294,2.0323860495107136,4.1305930542457645,0.7787930612186191,0.20623102749128078,1.0106151642270983e-05
1560,33,32,42,40,41,21,2,-2,2,0.5412153005599976,1.1037282364072496,1.2182160198426573,0.5748570277594272,0.5627238036471712,1.4526326121814894e-05
1613,8,9,12,10,11,21,1,-1,2,0.7811669111251831,1.8786086192852205,3.529170344452723,0.2399263295093574,0.5665092402705664,1.0662585867414622e-05
1617,18,19,25,23,24,21,3,-3,2,0.5399838089942932,1.1550040250200495,1.334034297812515,0.588709498035552,0.7040750775376756,0.00017462404509062276
1643,8,9,12,10,11,21,3,-3,2,0.707080066204071,1.4200874640937613,2.01664840567625,0.4675989582164341,0.46373990377520297,6.785450361618308e-07
1648,126,83,157,155,156,21,-1,1,21,0.7028949856758118,1.4551521047078333,2.117467647835637,0.6150803828195888,0.6174251866684658,2.764757769596498e-07
1648,143,142,205,203,204,21,-3,3,-2,0.5051248073577881,1.1684511707776013,1.365278138491547,0.3700512142894892,0.6464536586062328,1.7520521869535345e-06
1662,26,27,30,28,29,21,2,-2,21,0.6901322603225708,1.5449685159221604,2.3869277151907227,0.2968932116338792,0.7267816402903914,5.378973481186026e-06
1690,9,10,20,18,19,21,-3,3,21,0.6857678294181824,1.665003651279285,2.7722371587733505,0.27369212278840643,0.16662081094911158,5.188549663766434e-05
1694,11,13,24,22,23,21,-2,2,21,0.5591239929199219,1.1788145231845344,1.3896036800707812,0.6310857440276555,0.6389081413427193,1.8980710510696465e-07
1732,17,18,27,25,26,21,2,-2,21,0.5214949250221252,1.0925035172937339,1.1935639352991796,0.3814070199583795,0.4075035036136646,2.590617336439149e-07
1743,8,9,12,10,11,21,-4,4,-2,0.7674937844276428,4.653455979019849,21.654652548675585,0.13917573410817707,0.1349360196040879,6.106513310989749e-06
1749,11,12,15,13,14,21,-1,1,21,0.5033847093582153,1.2914509609959919,1.6678455846574707,0.7691758609956824,0.787595787682228,1.0414835068587394e-06
